ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW1_001,2023,Generalizable machine learning for stress monitoring from wearable devices: A systematic literature review,"Gideon Vos, Kelly Trinh, Zóltan Sarnyai, Mostafa Rahimi Azghadi",International Journal of Medical Informatics,160,https://doi.org/10.1016/j.ijmedinf.2023.105026,https://ars.els-cdn.com/content/image/1-s2.0-S1386505623000436-gr001_lrg.jpg,https://ars.els-cdn.com/content/image/1-s2.0-S1386505623000436-gr001_lrg.jpg
OA_KW1_002,2024,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,"Priyadarsini Samal, Mohammad Farukh Hashmi",Artificial Intelligence Review,147,https://doi.org/10.1007/s10462-023-10690-2,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf
OA_KW1_003,2023,"Emotion Recognition Using Different Sensors, Emotion Models, Methods and Datasets: A Comprehensive Review","Yujian Cai, Xingguang Li, Jinsong Li",Sensors,133,https://doi.org/10.3390/s23052455,https://www.mdpi.com/1424-8220/23/5/2455/pdf?version=1677135783,https://www.mdpi.com/1424-8220/23/5/2455/pdf?version=1677135783
OA_KW1_004,2025,A review on EEG-based multimodal learning for emotion recognition,"Rajasekhar Pillalamarri, S. Udhayakumar",Artificial Intelligence Review,117,https://doi.org/10.1007/s10462-025-11126-9,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf
OA_KW1_005,2023,Review of Studies on Emotion Recognition and Judgment Based on Physiological Signals,"Wenqian Lin, Chao Li",Applied Sciences,116,https://doi.org/10.3390/app13042573,https://www.mdpi.com/2076-3417/13/4/2573/pdf?version=1677048608,https://www.mdpi.com/2076-3417/13/4/2573/pdf?version=1677048608
OA_KW1_006,2023,State-of-the-Art of Stress Prediction from Heart Rate Variability Using Artificial Intelligence,"Yeaminul Haque, Rahat Shahriar Zawad, Chowdhury Saleh Ahmed Rony, Hasan Al Banna, Tapotosh Ghosh",Cognitive Computation,107,https://doi.org/10.1007/s12559-023-10200-0,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf
OA_KW1_007,2023,Transformer-Based Self-Supervised Multimodal Representation Learning for Wearable Emotion Recognition,"Yujin Wu, Mohamed Daoudi, Ali Amad",IEEE Transactions on Affective Computing,106,https://doi.org/10.1109/taffc.2023.3263907,https://hal.science/hal-04051433/document,
OA_KW1_008,2024,Review of Stress Detection Methods Using Wearable Sensors,"Georgios V. Taskasaplidis, Dimitris A. Fotiadis, Panagiotis D. Bamidis",IEEE Access,105,https://doi.org/10.1109/access.2024.3373010,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10458924.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10458924.pdf
OA_KW1_009,2023,An interpretable machine learning approach to multimodal stress detection in a simulated office environment,"Mara Naegelin, Raphael P. Weibel, Jasmine I. Kerr, Victor R. Schinazi, Roberto La Marca",Journal of Biomedical Informatics,81,https://doi.org/10.1016/j.jbi.2023.104299,https://ars.els-cdn.com/content/image/1-s2.0-S1532046423000205-ga1_lrg.jpg,https://ars.els-cdn.com/content/image/1-s2.0-S1532046423000205-ga1_lrg.jpg
OA_KW1_010,2024,Predicting stress levels using physiological data: Real-time stress prediction models utilizing wearable devices,"Evgenia Lazarou, Themis P. Exarchos",AIMS neuroscience,79,https://doi.org/10.3934/neuroscience.2024006,http://www.aimspress.com/aimspress-data/aimsn/2024/2/PDF/neurosci-11-02-006.pdf,http://www.aimspress.com/aimspress-data/aimsn/2024/2/PDF/neurosci-11-02-006.pdf
