ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW2_001,2022,EEG Based Emotion Recognition: A Tutorial and Review,"Xiang Li, Yazhou Zhang, Prayag Tiwari, Dawei Song",ACM Computing Surveys,492,https://doi.org/10.1145/3524499,https://arxiv.org/pdf/2203.11279,https://arxiv.org/pdf/2203.11279.pdf
OA_KW2_002,2022,Human emotion recognition from EEG-based brain–computer interface using machine learning: a comprehensive review,"Essam Halim Houssein, Asmaa S.A. Hammad, Abdelmgeid A. Ali",Neural Computing and Applications,427,https://doi.org/10.1007/s00521-022-07292-4,https://link.springer.com/content/pdf/10.1007/s00521-022-07292-4.pdf,https://link.springer.com/content/pdf/10.1007/s00521-022-07292-4.pdf
OA_KW2_003,2023,"Understanding the relationships between physiological and psychosocial stress, cortisol and cognition","Katharine James, Juliet Ilena Stromin, Nina Steenkamp, Marc Irwin Combrinck",Frontiers in Endocrinology,357,https://doi.org/10.3389/fendo.2023.1085950,https://www.frontiersin.org/articles/10.3389/fendo.2023.1085950/pdf,https://www.frontiersin.org/articles/10.3389/fendo.2023.1085950/pdf
OA_KW2_004,2023,"Deep learning and machine learning in psychiatry: a survey of current progress in depression detection, diagnosis and treatment","Matthew Squires, Xiaohui Tao, Soman Elangovan, Raj Gururajan, Xujuan Zhou",Brain Informatics,157,https://doi.org/10.1186/s40708-023-00188-6,https://braininformatics.springeropen.com/counter/pdf/10.1186/s40708-023-00188-6,https://braininformatics.springeropen.com/counter/pdf/10.1186/s40708-023-00188-6
OA_KW2_005,2024,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,"Priyadarsini Samal, Mohammad Farukh Hashmi",Artificial Intelligence Review,147,https://doi.org/10.1007/s10462-023-10690-2,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf
OA_KW2_006,2023,Deep learning-based EEG emotion recognition: Current trends and future perspectives,"Xiaohu Wang, Yongmei Ren, Ze Luo, Wei He, Jun Hong",Frontiers in Psychology,133,https://doi.org/10.3389/fpsyg.2023.1126994,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1126994/pdf,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1126994/pdf
OA_KW2_007,2022,Frontal lobe real-time EEG analysis using machine learning techniques for mental stress detection,"Omar AlShorman, Mahmoud Masadeh, Md Belal Bin Heyat, Faijan Akhtar",Journal of Integrative Neuroscience,130,https://doi.org/10.31083/j.jin2101020,https://www.imrpress.com/journal/JIN/21/1/10.31083/j.jin2101020/pdf,https://www.imrpress.com/journal/JIN/21/1/10.31083/j.jin2101020/pdf
OA_KW2_008,2023,Generative adversarial networks in EEG analysis: an overview,"Ahmed G. Habashi, Ahmed M. Azab, Seif Eldawlatly, Gamal M. Aly",Journal of NeuroEngineering and Rehabilitation,124,https://doi.org/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w
OA_KW2_009,2023,Multimodal Emotion Recognition From EEG Signals and Facial Expressions,"Shuai Wang, Jingzi Qu, Yong Zhang, Yidie Zhang",IEEE Access,123,https://doi.org/10.1109/access.2023.3263670,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10089483.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10089483.pdf
OA_KW2_010,2023,"Multimodal Emotion Recognition Based on Facial Expressions, Speech, and EEG","Jiahui Pan, Weijie Fang, Zhihang Zhang, Bingzhi Chen, Zheng Zhang",IEEE Open Journal of Engineering in Medicine and Biology,119,https://doi.org/10.1109/ojemb.2023.3240280,https://doi.org/10.1109/ojemb.2023.3240280,
OA_KW2_011,2025,A review on EEG-based multimodal learning for emotion recognition,"Rajasekhar Pillalamarri, S. Udhayakumar",Artificial Intelligence Review,117,https://doi.org/10.1007/s10462-025-11126-9,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf
OA_KW2_012,2023,EEGformer: A transformer–based brain activity classification method using EEG signal,"Zhijiang Wan, Manyu Li, Shichang Liu, Jiajin Huang, Hai Tan",Frontiers in Neuroscience,108,https://doi.org/10.3389/fnins.2023.1148855,https://www.frontiersin.org/articles/10.3389/fnins.2023.1148855/pdf,https://www.frontiersin.org/articles/10.3389/fnins.2023.1148855/pdf
OA_KW2_013,2023,State-of-the-Art of Stress Prediction from Heart Rate Variability Using Artificial Intelligence,"Yeaminul Haque, Rahat Shahriar Zawad, Chowdhury Saleh Ahmed Rony, Hasan Al Banna, Tapotosh Ghosh",Cognitive Computation,107,https://doi.org/10.1007/s12559-023-10200-0,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf
OA_KW2_014,2023,Transformer-Based Self-Supervised Multimodal Representation Learning for Wearable Emotion Recognition,"Yujin Wu, Mohamed Daoudi, Ali Amad",IEEE Transactions on Affective Computing,106,https://doi.org/10.1109/taffc.2023.3263907,https://hal.science/hal-04051433/document,
OA_KW2_015,2024,Review of Stress Detection Methods Using Wearable Sensors,"Georgios V. Taskasaplidis, Dimitris A. Fotiadis, Panagiotis D. Bamidis",IEEE Access,105,https://doi.org/10.1109/access.2024.3373010,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10458924.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10458924.pdf
