ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW6_001,2023,Emotion recognition and artificial intelligence: A systematic review (2014–2023) and research recommendations,"Smith K. Khare, Victoria Blanes‐Vidal, Esmaeil S. Nadimi, U. Rajendra Acharya",Information Fusion,462,https://doi.org/10.1016/j.inffus.2023.102019,https://doi.org/10.1016/j.inffus.2023.102019,
OA_KW6_002,2024,Integrating artificial intelligence to assess emotions in learning environments: a systematic literature review,"Angel Olider Rojas Vistorte, Ángel Deroncele-Acosta, Juan Luis Martín Ayala, Ángel Barrasa, Caridad López-Granero",Frontiers in Psychology,271,https://doi.org/10.3389/fpsyg.2024.1387089,https://doi.org/10.3389/fpsyg.2024.1387089,
OA_KW6_003,2023,DICE-Net: A Novel Convolution-Transformer Architecture for Alzheimer Detection in EEG Signals,"Ανδρέας Μιλτιάδους, Emmanouil Gionanidis, Katerina D. Tzimourta, Νικόλαος Γιαννακέας, Alexandros T. Tzallas",IEEE Access,196,https://doi.org/10.1109/access.2023.3294618,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10179900.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10179900.pdf
OA_KW6_004,2023,LGGNet: Learning From Local-Global-Graph Representations for Brain–Computer Interface,"Yi Ding, Neethu Robinson, Chengxuan Tong, Qiuhao Zeng, Cuntai Guan",IEEE Transactions on Neural Networks and Learning Systems,194,https://doi.org/10.1109/tnnls.2023.3236635,https://ieeexplore.ieee.org/ielx7/5962385/6104215/10025569.pdf,https://ieeexplore.ieee.org/ielx7/5962385/6104215/10025569.pdf
OA_KW6_005,2024,CTNet: a convolutional transformer network for EEG-based motor imagery classification,"Wei Zhao, Xiaolu Jiang, Baocan Zhang, Shixiao Xiao, Sujun Weng",Scientific Reports,172,https://doi.org/10.1038/s41598-024-71118-7,https://www.nature.com/articles/s41598-024-71118-7.pdf,https://www.nature.com/articles/s41598-024-71118-7.pdf
OA_KW6_006,2023,TMS combined with EEG: Recommendations and open issues for data collection and analysis,"Julio C. Hernandez-Pavon, Domenica Veniero, Til Ole Bergmann, Paolo Belardinelli, Marta Bortoletto",Brain stimulation,251,https://doi.org/10.1016/j.brs.2023.02.009,https://doi.org/10.1016/j.brs.2023.02.009,
OA_KW6_007,2024,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,"Priyadarsini Samal, Mohammad Farukh Hashmi",Artificial Intelligence Review,147,https://doi.org/10.1007/s10462-023-10690-2,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf
OA_KW6_008,2023,Electrocardiogram Monitoring Wearable Devices and Artificial-Intelligence-Enabled Diagnostic Capabilities: A Review,"Luca Neri, Matt T. Oberdier, Kirsten C. J. van Abeelen, Luca Menghini, Ethan Tumarkin",Sensors,132,https://doi.org/10.3390/s23104805,https://doi.org/10.3390/s23104805,
OA_KW6_009,2025,A review on EEG-based multimodal learning for emotion recognition,"Rajasekhar Pillalamarri, S. Udhayakumar",Artificial Intelligence Review,117,https://doi.org/10.1007/s10462-025-11126-9,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf
OA_KW6_010,2023,Review of Studies on Emotion Recognition and Judgment Based on Physiological Signals,"Wenqian Lin, Chao Li",Applied Sciences,116,https://doi.org/10.3390/app13042573,https://www.mdpi.com/2076-3417/13/4/2573/pdf?version=1677048608,https://www.mdpi.com/2076-3417/13/4/2573/pdf?version=1677048608
