File_Code,Title,Authors,Year,Journal,DOI,OA_URL,MD5_Hash
OA_KW6_001,EEG Based Emotion Recognition: A Tutorial and Review,"Xiang Li, Yazhou Zhang, Prayag Tiwari et al.",2022,ACM Computing Surveys,10.1145/3524499,https://arxiv.org/pdf/2203.11279.pdf,9f7969643edd8865b614c32838589272
OA_KW6_002,Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency,"Xiang Zhang, Ziyuan Zhao, Theodoros Tsiligkaridis et al.",2022,arXiv (Cornell University),10.48550/arxiv.2206.08496,https://arxiv.org/pdf/2206.08496.pdf,0b069252e40fc66880352f70dc1f10b2
OA_KW6_003,STGATE: Spatial-temporal graph attention network with a transformer encoder for EEG-based emotion recognition,"Jingcong Li, Weijian Pan, Haiyun Huang et al.",2023,Frontiers in Human Neuroscience,10.3389/fnhum.2023.1169949,https://www.frontiersin.org/articles/10.3389/fnhum.2023.1169949/pdf,6e6d2d48ec4086a8dbce1579283238fa
OA_KW6_004,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,"Priyadarsini Samal, Mohammad Farukh Hashmi",2024,Artificial Intelligence Review,10.1007/s10462-023-10690-2,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,10ccccd8c4391dc1177d0f8adb631eee
OA_KW6_005,Human emotion recognition from EEG-based brain–computer interface using machine learning: a comprehensive review,"Essam Halim Houssein, Asmaa S.A. Hammad, Abdelmgeid A. Ali",2022,Neural Computing and Applications,10.1007/s00521-022-07292-4,https://link.springer.com/content/pdf/10.1007/s00521-022-07292-4.pdf,54ba887c25181daa8bbf683df95e3f13
OA_KW6_006,SS-EMERGE - self-supervised enhancement for multidimension emotion recognition using GNNs for EEG,"Chirag Kamal Ahuja, Divyashikha Sethia",2025,Scientific Reports,10.1038/s41598-025-98623-7,https://www.nature.com/articles/s41598-025-98623-7.pdf,61c4d02d04ef4e4ee1317b98de9e82a8
OA_KW6_007,Leveraging Generic Time Series Foundation Models for EEG Classification,"Théo Gnassounou, Yessin Moakher, Shifeng Xie et al.",2025,arXiv Preprint,10.48550/arXiv.2510.27522v1,https://arxiv.org/pdf/2510.27522v1.pdf,a5e2c599231047a8a2836f62d6390d78
OA_KW6_008,Robust Tabular Foundation Models,"Matthew Peroni, Franck Le, Vadim Sheinin",2025,arXiv Preprint,10.48550/arXiv.2512.03307v1,https://arxiv.org/pdf/2512.03307v1.pdf,c78bbc753dcf3e670199c44c369a74e2
OA_KW6_009,Finetuning and Quantization of EEG-Based Foundational BioSignal Models on ECG and PPG Data for Blood Pressure Estimation,"Bálint Tóth, Dominik Senti, Thorir Mar Ingolfsson et al.",2025,arXiv Preprint,10.48550/arXiv.2502.17460v2,https://arxiv.org/pdf/2502.17460v2.pdf,991d991b07da0eda355368a5302ddb39
OA_KW6_010,CTNet: a convolutional transformer network for EEG-based motor imagery classification,"Wei Zhao, Xiaolu Jiang, Baocan Zhang et al.",2024,Scientific Reports,10.1038/s41598-024-71118-7,https://www.nature.com/articles/s41598-024-71118-7.pdf,b754a18f8343fc209734fb6e52d77f5c
