ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW3_001,2023,Emotion recognition and artificial intelligence: A systematic review (2014–2023) and research recommendations,"Smith K. Khare, Victoria Blanes‐Vidal, Esmaeil S. Nadimi, U. Rajendra Acharya",Information Fusion,462,https://doi.org/10.1016/j.inffus.2023.102019,https://doi.org/10.1016/j.inffus.2023.102019,
OA_KW3_002,2024,Integrating artificial intelligence to assess emotions in learning environments: a systematic literature review,"Angel Olider Rojas Vistorte, Ángel Deroncele-Acosta, Juan Luis Martín Ayala, Ángel Barrasa, Caridad López-Granero",Frontiers in Psychology,271,https://doi.org/10.3389/fpsyg.2024.1387089,https://doi.org/10.3389/fpsyg.2024.1387089,
OA_KW3_003,2023,Gut Microbiome–Brain Alliance: A Landscape View into Mental and Gastrointestinal Health and Disorders,"Janet M. Sasso, Ramy M. Ammar, Rumiana Tenchov, S. A. Lemmel, O Kelber",ACS Chemical Neuroscience,207,https://doi.org/10.1021/acschemneuro.3c00127,https://doi.org/10.1021/acschemneuro.3c00127,
OA_KW3_004,2024,Pathology of pain and its implications for therapeutic interventions,"Bo Cao, Qixuan Xu, Yajiao Shi, Ruiyang Zhao, Hanghang Li",Signal Transduction and Targeted Therapy,186,https://doi.org/10.1038/s41392-024-01845-w,https://www.nature.com/articles/s41392-024-01845-w.pdf,https://www.nature.com/articles/s41392-024-01845-w.pdf
OA_KW3_005,2023,"Deep Learning in EEG-Based BCIs: A Comprehensive Review of Transformer Models, Advantages, Challenges, and Applications","Berdakh Abibullaev, Aigerim Keutayeva, Amin Zollanvari",IEEE Access,136,https://doi.org/10.1109/access.2023.3329678,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10305163.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10305163.pdf
OA_KW3_006,2023,"Affective Computing: Recent Advances, Challenges, and Future Trends","Guanxiong Pei, Haiying Li, Yandi Lu, Yanlei Wang, Shizhen Hua",Intelligent Computing,132,https://doi.org/10.34133/icomputing.0076,https://spj.science.org/doi/pdf/10.34133/icomputing.0076?download=true,https://spj.science.org/doi/pdf/10.34133/icomputing.0076?download=true
OA_KW3_007,2023,Electrocardiogram Monitoring Wearable Devices and Artificial-Intelligence-Enabled Diagnostic Capabilities: A Review,"Luca Neri, Matt T. Oberdier, Kirsten C. J. van Abeelen, Luca Menghini, Ethan Tumarkin",Sensors,132,https://doi.org/10.3390/s23104805,https://doi.org/10.3390/s23104805,
OA_KW3_008,2024,Graph Neural Network-Based EEG Classification: A Survey,"Dominik Klepl, Min Wu, Fei He",IEEE Transactions on Neural Systems and Rehabilitation Engineering,126,https://doi.org/10.1109/tnsre.2024.3355750,https://ieeexplore.ieee.org/ielx7/7333/4359219/10403874.pdf,https://ieeexplore.ieee.org/ielx7/7333/4359219/10403874.pdf
OA_KW3_009,2023,Generative adversarial networks in EEG analysis: an overview,"Ahmed G. Habashi, Ahmed M. Azab, Seif Eldawlatly, Gamal M. Aly",Journal of NeuroEngineering and Rehabilitation,124,https://doi.org/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w
OA_KW3_010,2023,"Multimodal Emotion Recognition Based on Facial Expressions, Speech, and EEG","Jiahui Pan, Weijie Fang, Zhihang Zhang, Bingzhi Chen, Zheng Zhang",IEEE Open Journal of Engineering in Medicine and Biology,119,https://doi.org/10.1109/ojemb.2023.3240280,https://doi.org/10.1109/ojemb.2023.3240280,
OA_KW3_011,2025,A review on EEG-based multimodal learning for emotion recognition,"Rajasekhar Pillalamarri, S. Udhayakumar",Artificial Intelligence Review,117,https://doi.org/10.1007/s10462-025-11126-9,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf
OA_KW3_012,2024,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,"Priyadarsini Samal, Mohammad Farukh Hashmi",Artificial Intelligence Review,147,https://doi.org/10.1007/s10462-023-10690-2,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf
OA_KW3_013,2023,Review of Studies on Emotion Recognition and Judgment Based on Physiological Signals,"Wenqian Lin, Chao Li",Applied Sciences,116,https://doi.org/10.3390/app13042573,https://www.mdpi.com/2076-3417/13/4/2573/pdf?version=1677048608,https://www.mdpi.com/2076-3417/13/4/2573/pdf?version=1677048608
OA_KW3_014,2023,State-of-the-Art of Stress Prediction from Heart Rate Variability Using Artificial Intelligence,"Yeaminul Haque, Rahat Shahriar Zawad, Chowdhury Saleh Ahmed Rony, Hasan Al Banna, Tapotosh Ghosh",Cognitive Computation,107,https://doi.org/10.1007/s12559-023-10200-0,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf
OA_KW3_015,2023,Transformer-Based Self-Supervised Multimodal Representation Learning for Wearable Emotion Recognition,"Yujin Wu, Mohamed Daoudi, Ali Amad",IEEE Transactions on Affective Computing,106,https://doi.org/10.1109/taffc.2023.3263907,https://hal.science/hal-04051433/document,
OA_KW3_016,2023,Stress and Workload Assessment in Aviation—A Narrative Review,"Giulia Masi, Gianluca Amprimo, Claudia Ferraris, Lorenzo Priano",Sensors,97,https://doi.org/10.3390/s23073556,https://www.mdpi.com/1424-8220/23/7/3556/pdf?version=1680511790,https://www.mdpi.com/1424-8220/23/7/3556/pdf?version=1680511790
OA_KW3_017,2023,An interpretable machine learning approach to multimodal stress detection in a simulated office environment,"Mara Naegelin, Raphael P. Weibel, Jasmine I. Kerr, Victor R. Schinazi, Roberto La Marca",Journal of Biomedical Informatics,81,https://doi.org/10.1016/j.jbi.2023.104299,https://ars.els-cdn.com/content/image/1-s2.0-S1532046423000205-ga1_lrg.jpg,https://ars.els-cdn.com/content/image/1-s2.0-S1532046423000205-ga1_lrg.jpg
OA_KW3_018,2023,Multimodal Hierarchical CNN Feature Fusion for Stress Detection,"Radhika Kuttala, Ramanathan Subramanian, O.V. Ramana Murthy",IEEE Access,79,https://doi.org/10.1109/access.2023.3237545,https://ieeexplore.ieee.org/ielx7/6287639/10005208/10018374.pdf,https://ieeexplore.ieee.org/ielx7/6287639/10005208/10018374.pdf
OA_KW3_019,2024,Machine learning for human emotion recognition: a comprehensive review,"Eman M. G. Younis, Someya Mohsen, Essam H. Houssein, Osman Ali Sadek Ibrahim",Neural Computing and Applications,75,https://doi.org/10.1007/s00521-024-09426-2,https://link.springer.com/content/pdf/10.1007/s00521-024-09426-2.pdf,https://link.springer.com/content/pdf/10.1007/s00521-024-09426-2.pdf
OA_KW3_020,2024,"Multimodal Emotion Recognition Using Visual, Vocal and Physiological Signals: A Review","Gustave Udahemuka, Karim Djouani, Anish Kurien",Applied Sciences,74,https://doi.org/10.3390/app14178071,https://www.mdpi.com/2076-3417/14/17/8071/pdf?version=1726193115,https://www.mdpi.com/2076-3417/14/17/8071/pdf?version=1726193115
OA_KW3_021,2023,"Approaches, Applications, and Challenges in Physiological Emotion Recognition—A Tutorial Overview","Yekta Said Can, Bhargavi Mahesh, Elisabeth André",Proceedings of the IEEE,73,https://doi.org/10.1109/jproc.2023.3286445,https://ieeexplore.ieee.org/ielx7/5/4357935/10171229.pdf,https://ieeexplore.ieee.org/ielx7/5/4357935/10171229.pdf
OA_KW3_022,2023,Cross-Subject Emotion Recognition Brain–Computer Interface Based on fNIRS and DBJNet,"Xiaopeng Si, He Huang, Jiayue Yu, Dong Ming",Cyborg and Bionic Systems,70,https://doi.org/10.34133/cbsystems.0045,https://spj.science.org/doi/pdf/10.34133/cbsystems.0045?download=true,https://spj.science.org/doi/pdf/10.34133/cbsystems.0045?download=true
OA_KW3_023,2025,Artificial Intelligence in Psychiatry: A Review of Biological and Behavioral Data Analyses,"Ismail BAYDİLİ, Burak Taşçı, Gülay Taşçı",Diagnostics,69,https://doi.org/10.3390/diagnostics15040434,https://www.mdpi.com/2075-4418/15/4/434/pdf,https://www.mdpi.com/2075-4418/15/4/434/pdf
OA_KW3_024,2024,MASA-TCN: Multi-Anchor Space-Aware Temporal Convolutional Neural Networks for Continuous and Discrete EEG Emotion Recognition,"Yi Ding, Su Zhang, Chuangao Tang, Cuntai Guan",IEEE Journal of Biomedical and Health Informatics,60,https://doi.org/10.1109/jbhi.2024.3392564,https://ieeexplore.ieee.org/ielx7/6221020/6363502/10506986.pdf,https://ieeexplore.ieee.org/ielx7/6221020/6363502/10506986.pdf
