ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW4_001,2023,Consequences of adolescent drug use,"Michael Steinfeld, Mary M. Torregrossa",Translational Psychiatry,236,https://doi.org/10.1038/s41398-023-02590-4,https://www.nature.com/articles/s41398-023-02590-4.pdf,https://www.nature.com/articles/s41398-023-02590-4.pdf
OA_KW4_002,2024,Pathology of pain and its implications for therapeutic interventions,"Bo Cao, Qixuan Xu, Yajiao Shi, Ruiyang Zhao, Hanghang Li",Signal Transduction and Targeted Therapy,186,https://doi.org/10.1038/s41392-024-01845-w,https://www.nature.com/articles/s41392-024-01845-w.pdf,https://www.nature.com/articles/s41392-024-01845-w.pdf
OA_KW4_003,2023,Generalizable machine learning for stress monitoring from wearable devices: A systematic literature review,"Gideon Vos, Kelly Trinh, Zóltan Sarnyai, Mostafa Rahimi Azghadi",International Journal of Medical Informatics,160,https://doi.org/10.1016/j.ijmedinf.2023.105026,https://ars.els-cdn.com/content/image/1-s2.0-S1386505623000436-gr001_lrg.jpg,https://ars.els-cdn.com/content/image/1-s2.0-S1386505623000436-gr001_lrg.jpg
OA_KW4_004,2024,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,"Priyadarsini Samal, Mohammad Farukh Hashmi",Artificial Intelligence Review,147,https://doi.org/10.1007/s10462-023-10690-2,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf
OA_KW4_005,2025,From Neural Networks to Emotional Networks: A Systematic Review of EEG-Based Emotion Recognition in Cognitive Neuroscience and Real-World Applications,"Evgenia Gkintoni, Anthimos Aroutzidis, Hera Antonopoulou, Constantinos Halkiopoulos",Brain Sciences,144,https://doi.org/10.3390/brainsci15030220,https://www.mdpi.com/2076-3425/15/3/220/pdf?version=1740057185,https://www.mdpi.com/2076-3425/15/3/220/pdf?version=1740057185
OA_KW4_006,2023,"Deep Learning in EEG-Based BCIs: A Comprehensive Review of Transformer Models, Advantages, Challenges, and Applications","Berdakh Abibullaev, Aigerim Keutayeva, Amin Zollanvari",IEEE Access,136,https://doi.org/10.1109/access.2023.3329678,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10305163.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10305163.pdf
OA_KW4_007,2023,Deep learning-based EEG emotion recognition: Current trends and future perspectives,"Xiaohu Wang, Yongmei Ren, Ze Luo, Wei He, Jun Hong",Frontiers in Psychology,133,https://doi.org/10.3389/fpsyg.2023.1126994,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1126994/pdf,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1126994/pdf
OA_KW4_008,2023,"Affective Computing: Recent Advances, Challenges, and Future Trends","Guanxiong Pei, Haiying Li, Yandi Lu, Yanlei Wang, Shizhen Hua",Intelligent Computing,132,https://doi.org/10.34133/icomputing.0076,https://spj.science.org/doi/pdf/10.34133/icomputing.0076?download=true,https://spj.science.org/doi/pdf/10.34133/icomputing.0076?download=true
OA_KW4_009,2023,Generative adversarial networks in EEG analysis: an overview,"Ahmed G. Habashi, Ahmed M. Azab, Seif Eldawlatly, Gamal M. Aly",Journal of NeuroEngineering and Rehabilitation,124,https://doi.org/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w
OA_KW4_010,2025,Recent Advances in Portable Dry Electrode EEG: Architecture and Applications in Brain-Computer Interfaces,"Meihong Zhang, Bocheng Qian, Jianming Gao, Shaokai Zhao, Yibo Cui",Sensors,27,https://doi.org/10.3390/s25165215,https://www.mdpi.com/1424-8220/25/16/5215/pdf?version=1755829617,https://www.mdpi.com/1424-8220/25/16/5215/pdf?version=1755829617
OA_KW4_011,2023,Multimodal Physiological Signals Fusion for Online Emotion Recognition,"Tongjie Pan, Yalan Ye, Hecheng Cai, Shudong Huang, Yang Yang",Open Access Journal/Conference,21,https://doi.org/10.1145/3581783.3612555,https://dl.acm.org/doi/pdf/10.1145/3581783.3612555,https://dl.acm.org/doi/pdf/10.1145/3581783.3612555
