ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW5_001,2023,"Generative adversarial networks in EEG analysis: an overview","Ahmed G. Habashi, Ahmed M. Azab, Seif Eldawlatly, Gamal M. Aly","Journal of NeuroEngineering and Rehabilitation",124,https://doi.org/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w
OA_KW5_002,2023,"Virtual nature, psychological and psychophysiological outcomes: A systematic review","Giuseppina Spano, Annalisa Theodorou, Gerhard Reese, Giuseppe Carrus, Giovanni Sanesi","Journal of Environmental Psychology",119,https://doi.org/10.1016/j.jenvp.2023.102044,https://www.sciencedirect.com/science/article/pii/S0272494423000920,https://www.sciencedirect.com/science/article/pii/S0272494423000920
OA_KW5_003,2025,"A review on EEG-based multimodal learning for emotion recognition","Rajasekhar Pillalamarri, S. Udhayakumar","Artificial Intelligence Review",117,https://doi.org/10.1007/s10462-025-11126-9,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf
OA_KW5_004,2023,"State-of-the-Art of Stress Prediction from Heart Rate Variability Using Artificial Intelligence","Yeaminul Haque, Rahat Shahriar Zawad, Chowdhury Saleh Ahmed Rony, Hasan Al Banna, Tapotosh Ghosh","Cognitive Computation",107,https://doi.org/10.1007/s12559-023-10200-0,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf
OA_KW5_005,2023,"Transformer-Based Self-Supervised Multimodal Representation Learning for Wearable Emotion Recognition","Yujin Wu, Mohamed Daoudi, Ali Amad","IEEE Transactions on Affective Computing",106,https://doi.org/10.1109/taffc.2023.3263907,https://hal.science/hal-04051433/document,
OA_KW5_006,2023,"An interpretable machine learning approach to multimodal stress detection in a simulated office environment","Mara Naegelin, Raphael P. Weibel, Jasmine I. Kerr, Victor R. Schinazi, Roberto La Marca","Journal of Biomedical Informatics",81,https://doi.org/10.1016/j.jbi.2023.104299,https://ars.els-cdn.com/content/image/1-s2.0-S1532046423000205-ga1_lrg.jpg,https://ars.els-cdn.com/content/image/1-s2.0-S1532046423000205-ga1_lrg.jpg
OA_KW5_007,2024,"Machine learning for human emotion recognition: a comprehensive review","Eman M. G. Younis, Someya Mohsen, Essam H. Houssein, Osman Ali Sadek Ibrahim","Neural Computing and Applications",75,https://doi.org/10.1007/s00521-024-09426-2,https://link.springer.com/content/pdf/10.1007/s00521-024-09426-2.pdf,https://link.springer.com/content/pdf/10.1007/s00521-024-09426-2.pdf
OA_KW5_008,2024,"Multimodal Emotion Recognition Using Visual, Vocal and Physiological Signals: A Review","Gustave Udahemuka, Karim Djouani, Anish Kurien","Applied Sciences",74,https://doi.org/10.3390/app14178071,https://www.mdpi.com/2076-3417/14/17/8071/pdf?version=1726193115,https://www.mdpi.com/2076-3417/14/17/8071/pdf?version=1726193115
OA_KW5_009,2024,"Personalized Stress Detection Using Biosignals from Wearables: A Scoping Review","Marco Bolpagni, Susanna Pardini, Marco Dianti, Silvia Gabrielli","Sensors",57,https://doi.org/10.3390/s24103221,https://www.mdpi.com/1424-8220/24/10/3221/pdf?version=1716262020,https://www.mdpi.com/1424-8220/24/10/3221/pdf?version=1716262020
OA_KW5_010,2023,"Reducing Stress with Yoga: A Systematic Review Based on Multimodal Biosignals","Aayushi Khajuria, Amit Kumar, Deepak Joshi, S Senthil Kumaran","International Journal of Yoga",50,https://doi.org/10.4103/ijoy.ijoy_218_23,https://doi.org/10.4103/ijoy.ijoy_218_23,
