ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW7_001,2023,LGGNet: Learning From Local-Global-Graph Representations for Brain–Computer Interface,"Yi Ding, Neethu Robinson, Chengxuan Tong, Qiuhao Zeng, Cuntai Guan",IEEE Transactions on Neural Networks and Learning Systems,194,https://doi.org/10.1109/tnnls.2023.3236635,https://ieeexplore.ieee.org/ielx7/5962385/6104215/10025569.pdf,https://ieeexplore.ieee.org/ielx7/5962385/6104215/10025569.pdf
OA_KW7_002,2023,MSFR-GCN: A Multi-Scale Feature Reconstruction Graph Convolutional Network for EEG Emotion and Cognition Recognition,"Deng Pan, Haohao Zheng, Feifan Xu, Yu Ouyang, Zhe Jia",IEEE Transactions on Neural Systems and Rehabilitation Engineering,93,https://doi.org/10.1109/tnsre.2023.3304660,https://ieeexplore.ieee.org/ielx7/7333/4359219/10216317.pdf,https://ieeexplore.ieee.org/ielx7/7333/4359219/10216317.pdf
OA_KW7_003,2023,STGATE: Spatial-temporal graph attention network with a transformer encoder for EEG-based emotion recognition,"Jingcong Li, Weijian Pan, Haiyun Huang, Jiahui Pan, Fei Wang",Frontiers in Human Neuroscience,72,https://doi.org/10.3389/fnhum.2023.1169949,https://www.frontiersin.org/articles/10.3389/fnhum.2023.1169949/pdf,https://www.frontiersin.org/articles/10.3389/fnhum.2023.1169949/pdf
OA_KW7_004,2023,EEG-based emotion recognition using a temporal-difference minimizing neural network,"Xiangyu Ju, Ming Li, Wenli Tian, Dewen Hu",Cognitive Neurodynamics,57,https://doi.org/10.1007/s11571-023-10004-w,https://doi.org/10.1007/s11571-023-10004-w,
OA_KW7_005,2023,Bi-Branch Vision Transformer Network for EEG Emotion Recognition,"Wei Lu, Tien-Ping Tan, Hua Ma",IEEE Access,57,https://doi.org/10.1109/access.2023.3266117,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10098561.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10098561.pdf
OA_KW7_006,2023,Emotion Recognition from Spatio-Temporal Representation of EEG Signals via 3D-CNN with Ensemble Learning Techniques,"Rajamanickam Yuvaraj, Arapan Baranwal, A. Amalin Prince, M. Murugappan, Javeed Shaikh Mohammed",Brain Sciences,53,https://doi.org/10.3390/brainsci13040685,https://www.mdpi.com/2076-3425/13/4/685/pdf?version=1681902435,https://www.mdpi.com/2076-3425/13/4/685/pdf?version=1681902435
OA_KW7_007,2023,Fractal Spiking Neural Network Scheme for EEG-Based Emotion Recognition,"Wei Li, Cheng Fang, Zhihao Zhu, Chuyi Chen, Aiguo Song",IEEE Journal of Translational Engineering in Health and Medicine,44,https://doi.org/10.1109/jtehm.2023.3320132,https://ieeexplore.ieee.org/ielx7/6221039/6563131/10266337.pdf,https://ieeexplore.ieee.org/ielx7/6221039/6563131/10266337.pdf
OA_KW7_008,2023,Multimodal Adaptive Emotion Transformer with Flexible Modality Inputs on A Novel Dataset with Continuous Labels,"Wei-Bang Jiang, Xuan-Hao Liu, Wei‐Long Zheng, Bao‐Liang Lu",Open Access Journal,43,https://doi.org/10.1145/3581783.3613797,https://dl.acm.org/doi/pdf/10.1145/3581783.3613797,https://dl.acm.org/doi/pdf/10.1145/3581783.3613797
OA_KW7_009,2024,DMMR: Cross-Subject Domain Generalization for EEG-Based Emotion Recognition via Denoising Mixed Mutual Reconstruction,"Yiming Wang, Bin Zhang, Yujiao Tang",Proceedings of the AAAI Conference on Artificial Intelligence,41,https://doi.org/10.1609/aaai.v38i1.27819,https://ojs.aaai.org/index.php/AAAI/article/download/27819/27668,https://ojs.aaai.org/index.php/AAAI/article/download/27819/27668
OA_KW7_010,2024,Attention-Based Temporal Graph Representation Learning for EEG-Based Emotion Recognition,"Chao Li, Feng Wang, Ziping Zhao, Haishuai Wang, Björn W. Schuller",IEEE Journal of Biomedical and Health Informatics,39,https://doi.org/10.1109/jbhi.2024.3395622,https://opus.bibliothek.uni-augsburg.de/opus4/files/116266/116266.pdf,https://opus.bibliothek.uni-augsburg.de/opus4/files/116266/116266.pdf
OA_KW7_011,2024,Mini review: Challenges in EEG emotion recognition,"Zhihui Zhang, Josep Maria Fort Mir, Lluís Giménez Mateu",Frontiers in Psychology,38,https://doi.org/10.3389/fpsyg.2023.1289816,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1289816/pdf?isPublishedV2=False,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1289816/pdf?isPublishedV2=False
OA_KW7_012,2024,Subject-Independent Emotion Recognition Based on EEG Frequency Band Features and Self-Adaptive Graph Construction,"Jinhao Zhang, Yanrong Hao, Xin Wen, Chenchen Zhang, Haojie Deng",Brain Sciences,37,https://doi.org/10.3390/brainsci14030271,https://www.mdpi.com/2076-3425/14/3/271/pdf?version=1710255751,https://www.mdpi.com/2076-3425/14/3/271/pdf?version=1710255751
