ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW8_001,2023,Emotion recognition and artificial intelligence: A systematic review (2014–2023) and research recommendations,"Smith K. Khare, Victoria Blanes‐Vidal, Esmaeil S. Nadimi, U. Rajendra Acharya",Information Fusion,462,https://doi.org/10.1016/j.inffus.2023.102019,https://doi.org/10.1016/j.inffus.2023.102019,
OA_KW8_002,2024,CTNet: a convolutional transformer network for EEG-based motor imagery classification,"Wei Zhao, Xiaolu Jiang, Baocan Zhang, Shixiao Xiao, Sujun Weng",Scientific Reports,172,https://doi.org/10.1038/s41598-024-71118-7,https://www.nature.com/articles/s41598-024-71118-7.pdf,https://www.nature.com/articles/s41598-024-71118-7.pdf
OA_KW8_003,2024,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,"Priyadarsini Samal, Mohammad Farukh Hashmi",Artificial Intelligence Review,147,https://doi.org/10.1007/s10462-023-10690-2,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf
OA_KW8_004,2023,"Deep Learning in EEG-Based BCIs: A Comprehensive Review of Transformer Models, Advantages, Challenges, and Applications","Berdakh Abibullaev, Aigerim Keutayeva, Amin Zollanvari",IEEE Access,136,https://doi.org/10.1109/access.2023.3329678,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10305163.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10305163.pdf
OA_KW8_005,2023,"Emotion Recognition Using Different Sensors, Emotion Models, Methods and Datasets: A Comprehensive Review","Yujian Cai, Xingguang Li, Jinsong Li",Sensors,133,https://doi.org/10.3390/s23052455,https://www.mdpi.com/1424-8220/23/5/2455/pdf?version=1677135783,https://www.mdpi.com/1424-8220/23/5/2455/pdf?version=1677135783
OA_KW8_006,2023,"Affective Computing: Recent Advances, Challenges, and Future Trends","Guanxiong Pei, Haiying Li, Yandi Lu, Yanlei Wang, Shizhen Hua",Intelligent Computing,132,https://doi.org/10.34133/icomputing.0076,https://spj.science.org/doi/pdf/10.34133/icomputing.0076?download=true,https://spj.science.org/doi/pdf/10.34133/icomputing.0076?download=true
OA_KW8_007,2023,Electrocardiogram Monitoring Wearable Devices and Artificial-Intelligence-Enabled Diagnostic Capabilities: A Review,"Luca Neri, Matt T. Oberdier, Kirsten C. J. van Abeelen, Luca Menghini, Ethan Tumarkin",Sensors,132,https://doi.org/10.3390/s23104805,https://doi.org/10.3390/s23104805,
OA_KW8_008,2023,"Multimodal Emotion Recognition Based on Facial Expressions, Speech, and EEG","Jiahui Pan, Weijie Fang, Zhihang Zhang, Bingzhi Chen, Zheng Zhang",IEEE Open Journal of Engineering in Medicine and Biology,119,https://doi.org/10.1109/ojemb.2023.3240280,https://doi.org/10.1109/ojemb.2023.3240280,
OA_KW8_009,2025,A review on EEG-based multimodal learning for emotion recognition,"Rajasekhar Pillalamarri, S. Udhayakumar",Artificial Intelligence Review,117,https://doi.org/10.1007/s10462-025-11126-9,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf,https://link.springer.com/content/pdf/10.1007/s10462-025-11126-9.pdf
OA_KW8_010,2023,DICE-Net: A Novel Convolution-Transformer Architecture for Alzheimer Detection in EEG Signals,"Ανδρέας Μιλτιάδους, Emmanouil Gionanidis, Katerina D. Tzimourta, Νικόλαος Γιαννακέας, Alexandros T. Tzallas",IEEE Access,196,https://doi.org/10.1109/access.2023.3294618,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10179900.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10179900.pdf
OA_KW8_011,2024,Graph Neural Network-Based EEG Classification: A Survey,"Dominik Klepl, Min Wu, Fei He",IEEE Transactions on Neural Systems and Rehabilitation Engineering,126,https://doi.org/10.1109/tnsre.2024.3355750,https://ieeexplore.ieee.org/ielx7/7333/4359219/10403874.pdf,https://ieeexplore.ieee.org/ielx7/7333/4359219/10403874.pdf
OA_KW8_012,2023,Application of data fusion for automated detection of children with developmental and mental disorders: A systematic review of the last decade,"Smith K. Khare, Sonja March, Prabal Datta Barua, Vikram M. Gadre, U. Rajendra Acharya",Information Fusion,111,https://doi.org/10.1016/j.inffus.2023.101898,https://doi.org/10.1016/j.inffus.2023.101898,
OA_KW8_013,2023,EEGformer: A transformer–based brain activity classification method using EEG signal,"Zhijiang Wan, Manyu Li, Shichang Liu, Jiajin Huang, Hai Tan",Frontiers in Neuroscience,108,https://doi.org/10.3389/fnins.2023.1148855,https://www.frontiersin.org/articles/10.3389/fnins.2023.1148855/pdf,https://www.frontiersin.org/articles/10.3389/fnins.2023.1148855/pdf
OA_KW8_014,2024,Enhancing early Parkinson’s disease detection through multimodal deep learning and explainable AI: insights from the PPMI database,"Vincenzo Dentamaro, Donato Impedovo, Luca Musti, Giuseppe Pirlo, Paolo Taurisano",Scientific Reports,107,https://doi.org/10.1038/s41598-024-70165-4,https://www.nature.com/articles/s41598-024-70165-4.pdf,https://www.nature.com/articles/s41598-024-70165-4.pdf
OA_KW8_015,2023,D 2 PAM : Epileptic seizures prediction using adversarial deep dual patch attention mechanism,"Arfat Ahmad Khan, Rakesh Kumar Madendran, Usharani Thirunavukkarasu, Muhammad Faheem",CAAI Transactions on Intelligence Technology,105,https://doi.org/10.1049/cit2.12261,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/cit2.12261,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/cit2.12261
