ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW9_001,2023,Artificial Intelligence and Sensor Innovations: Enhancing Livestock Welfare with a Human-Centric Approach,Suresh Neethirajan,Human-Centric Intelligent Systems,134,https://doi.org/10.1007/s44230-023-00050-2,https://link.springer.com/content/pdf/10.1007/s44230-023-00050-2.pdf,https://link.springer.com/content/pdf/10.1007/s44230-023-00050-2.pdf
OA_KW9_002,2025,Artificial Intelligence and Neuroscience: Transformative Synergies in Brain Research and Clinical Applications,"Răzvan Onciul, Cătălina-Ioana Tătaru, Adrian Dumitru, Carla Crivoi, Matei Șerban",Journal of Clinical Medicine,108,https://doi.org/10.3390/jcm14020550,https://www.mdpi.com/2077-0383/14/2/550/pdf?version=1737025777,https://www.mdpi.com/2077-0383/14/2/550/pdf?version=1737025777
OA_KW9_003,2024,Enhancing early Parkinson’s disease detection through multimodal deep learning and explainable AI: insights from the PPMI database,"Vincenzo Dentamaro, Donato Impedovo, Luca Musti, Giuseppe Pirlo, Paolo Taurisano",Scientific Reports,107,https://doi.org/10.1038/s41598-024-70165-4,https://www.nature.com/articles/s41598-024-70165-4.pdf,https://www.nature.com/articles/s41598-024-70165-4.pdf
OA_KW9_004,2023,State-of-the-Art of Stress Prediction from Heart Rate Variability Using Artificial Intelligence,"Yeaminul Haque, Rahat Shahriar Zawad, Chowdhury Saleh Ahmed Rony, Hasan Al Banna, Tapotosh Ghosh",Cognitive Computation,107,https://doi.org/10.1007/s12559-023-10200-0,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf,https://link.springer.com/content/pdf/10.1007/s12559-023-10200-0.pdf
OA_KW9_005,2024,Causal Inference Meets Deep Learning: A Comprehensive Survey,"Licheng Jiao, Yuhan Wang, Xu Liu, Lingling Li, Fang Liu",Research,103,https://doi.org/10.34133/research.0467,https://doi.org/10.34133/research.0467,
OA_KW9_006,2023,"MedMetaverse: Medical Care of Chronic Disease Patients and Managing Data Using Artificial Intelligence, Blockchain, and Wearable Devices State-of-the-Art Methodology","Dileep Kumar Murala, Sandeep Kumar Panda, Sujata Priyambada Dash",IEEE Access,100,https://doi.org/10.1109/access.2023.3340791,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10348578.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10348578.pdf
OA_KW9_007,2023,Machine learning with multimodal neuroimaging data to classify stages of Alzheimer’s disease: a systematic review and meta-analysis,"Modupe Odusami, Rytis Maskeliūnas, Robertas Damaševičius, Sanjay Misra",Cognitive Neurodynamics,83,https://doi.org/10.1007/s11571-023-09993-5,https://link.springer.com/content/pdf/10.1007/s11571-023-09993-5.pdf,https://link.springer.com/content/pdf/10.1007/s11571-023-09993-5.pdf
OA_KW9_008,2025,Advances in Neuroimaging and Deep Learning for Emotion Detection: A Systematic Review of Cognitive Neuroscience and Algorithmic Innovations,"Constantinos Halkiopoulos, Evgenia Gkintoni, Anthimos Aroutzidis, Hera Antonopoulou",Diagnostics,74,https://doi.org/10.3390/diagnostics15040456,https://www.mdpi.com/2075-4418/15/4/456/pdf?version=1739439273,https://www.mdpi.com/2075-4418/15/4/456/pdf?version=1739439273
OA_KW9_009,2023,Application of Artificial Intelligence Techniques for Brain–Computer Interface in Mental Fatigue Detection: A Systematic Review (2011–2022),"Hamwira Yaacob, Farhad Hossain, Sharunizam Shari, Smith K. Khare, Chui Ping Ooi",IEEE Access,65,https://doi.org/10.1109/access.2023.3296382,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10185973.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10185973.pdf
OA_KW9_010,2024,SHAP value-based ERP analysis (SHERPA): Increasing the sensitivity of EEG signals with explainable AI methods,"Sophia Sylvester, Merle Sagehorn, Thomas Gruber, Martin Atzmueller, Benjamin Schöne",Behavior Research Methods,60,https://doi.org/10.3758/s13428-023-02335-7,https://link.springer.com/content/pdf/10.3758/s13428-023-02335-7.pdf,https://link.springer.com/content/pdf/10.3758/s13428-023-02335-7.pdf
OA_KW9_011,2023,AI-Based Epileptic Seizure Detection and Prediction in Internet of Healthcare Things: A Systematic Review,"Sobhana Jahan, Farhana Nowsheen, Mahathir Mahmud Antik, Md. Sazzadur Rahman, M. Shamim Kaiser",IEEE Access,60,https://doi.org/10.1109/access.2023.3251105,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10056936.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10056936.pdf
OA_KW9_012,2023,ADHD/CD-NET: automated EEG-based characterization of ADHD and CD using explainable deep neural network technique,"Hui Wen Loh, Chui Ping Ooi, Shu Lih Oh, Prabal Datta Barua, Yi Ren Tan",Cognitive Neurodynamics,37,https://doi.org/10.1007/s11571-023-10028-2,https://link.springer.com/content/pdf/10.1007/s11571-023-10028-2.pdf,https://link.springer.com/content/pdf/10.1007/s11571-023-10028-2.pdf
