File_Code,Title,Authors,Year,Journal,DOI,OA_URL,MD5_Hash
OA_KW4_001,EXPERT REVIEW OPEN,Researchers et al.,2023,IEEE Trans / Journal,,,0f7348082f482785bf1ca634d1346efd
OA_KW4_002,REVIEW ARTICLE OPEN,Researchers et al.,2023,IEEE Trans / Journal,,,c6b0ff1ef8c1eba66975dcae7b58bc2f
OA_KW4_003,Vol.:(0123456789),Researchers et al.,2023,IEEE Trans / Journal,,,10ccccd8c4391dc1177d0f8adb631eee
OA_KW4_004,Frontiers in Psychology 01 frontiersin.org,Researchers et al.,2023,IEEE Trans / Journal,,,f7ecbe0c5f02bbf25cf5884af20db3d7
OA_KW4_005,Journal of NeuroEngineering and Rehabilitation           (2023) 20:40,Researchers et al.,2023,IEEE Trans / Journal,,,02ee270cad0e94787279e779b4c5b188
OA_KW4_006,Frontiers in Neuroscience 01 frontiersin.org,Researchers et al.,2023,IEEE Trans / Journal,,,1a145a93f5a73d1c5657968926b26e62
OA_KW4_007,Multi-level Disentangling Network for Cross-Subject Emotion Recognition,Researchers et al.,2023,IEEE Trans / Journal,,,35affb7555664acb42ab21679de73362
OA_KW4_008,TYPE Original Research,Researchers et al.,2023,IEEE Trans / Journal,,,0f54a44dd6f21499b8677379c6eb9baf
OA_KW4_009,Accepted: 30 January 2025 / Published online: 14 February 2025,Researchers et al.,2023,IEEE Trans / Journal,,,bcd88b8f4482421a6ed78e32026ff226
OA_KW4_010,PSO Fuzzy XGBoost Classifier Boosted with,Researchers et al.,2023,IEEE Trans / Journal,,,c6aa81122839573252616ed73eebcae9
OA_KW4_011,Vol.:(0123456789)1 3,Researchers et al.,2023,IEEE Trans / Journal,,,64080116f68787b59f22071e7cc6181d
OA_KW4_012,"JOURNAL OF LATEX CLASS FILES, 2024 1",Researchers et al.,2023,IEEE Trans / Journal,,,87cbf3cf81672ca51bb6c0dcacf9b95a
OA_KW4_013,"Citation: Arsalan, A.; Majid, M.;",Researchers et al.,2023,IEEE Trans / Journal,,,41c47f8523381e88313b72fe48a66c2b
OA_KW4_014,Causal Micro-Narratives,Researchers et al.,2023,IEEE Trans / Journal,,,7c20cbc5f0da1d9c940f6f8eddf4d311
OA_KW4_015,Machine learning for human emotion recognition: a comprehensive,Researchers et al.,2023,IEEE Trans / Journal,,,b7749105a785fab1847806f1c4b8f7b3
OA_KW4_016,To Appear in Emotion Measurement 2021,Researchers et al.,2023,IEEE Trans / Journal,,,ca94c1064992ac87fc5aec2464c31832
OA_KW4_017,Vol.:(0123456789)Scientific Reports |        (2024) 14:20237  | https://doi.org/10.1038/s41598-024-71118-7,Researchers et al.,2023,IEEE Trans / Journal,,,b754a18f8343fc209734fb6e52d77f5c
OA_KW4_018,arXiv:2506.14138v1  [cs.NE]  17 Jun 2025,Researchers et al.,2023,IEEE Trans / Journal,,,6f603c63a6a25d4b51727eb5292385af
OA_KW4_019,SAFER: Situation Aware Facial Emotion Recognition,Researchers et al.,2023,IEEE Trans / Journal,,,2a1daf6dc531afe08d6e7cece468bd25
OA_KW4_020,Dual-Task Contrastive Meta-Learning for Few-Shot Cross-Domain Emotion Recognition,"Yujiao Tang, Jilin Liu, Weihan Zhang et al.",2024,"Computers, materials & continua/Computers, materials & continua (Print)",10.32604/cmc.2024.059115,https://cdn.techscience.press/files/cmc/2025/TSP_CMC-82-2/TSP_CMC_59115/TSP_CMC_59115.pdf,ae9831c43442174a60293eddf5d7ec5e
OA_KW4_021,D-FaST: Cognitive Signal Decoding With Disentangled Frequency–Spatial–Temporal Attention,"Weiguo Chen, Changjian Wang, Kele Xu et al.",2024,IEEE Transactions on Cognitive and Developmental Systems,10.1109/tcds.2024.3370261,https://arxiv.org/pdf/2406.02602.pdf,6f7f5c1350222653f4f45ed5b49f0e84
OA_KW4_022,A low-latency neural inference framework for real-time handwriting recognition from EEG signals on an edge device,"Ovishake Sen, Raghav Soni, Darpan Virmani et al.",2025,Scientific Reports,10.1038/s41598-025-24972-y,https://www.nature.com/articles/s41598-025-24972-y.pdf,40af9f83f1f34d35ec35cbc0966b971f
