paper_code,title,authors,year,journal,doi,file_name,md5_hash
OA_KW5_001,Journal of NeuroEngineering and Rehabilitation           (2023) 20:40,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0001,OA_KW5_001.pdf,02ee270cad0e94787279e779b4c5b188
OA_KW5_002,Accepted: 30 January 2025 / Published online: 14 February 2025,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0002,OA_KW5_002.pdf,bcd88b8f4482421a6ed78e32026ff226
OA_KW5_003,Vol.:(0123456789)1 3,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0003,OA_KW5_003.pdf,64080116f68787b59f22071e7cc6181d
OA_KW5_004,"JOURNAL OF LATEX CLASS FILES, 2024 1",Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0004,OA_KW5_004.pdf,87cbf3cf81672ca51bb6c0dcacf9b95a
OA_KW5_005,Machine learning for human emotion recognition: a comprehensive,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0005,OA_KW5_005.pdf,b7749105a785fab1847806f1c4b8f7b3
OA_KW5_006,Frontiers in Psychology 01 frontiersin.org,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0006,OA_KW5_006.pdf,0fdc383ed1386b51365f7ccc08810bc4
OA_KW5_007,Accepted: 16 June 2025 / Published online: 16 July 2025,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0007,OA_KW5_007.pdf,1282ffef45ec9f0ae261a19f0b148152
OA_KW5_008,Vol.:(0123456789),Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0008,OA_KW5_008.pdf,10ccccd8c4391dc1177d0f8adb631eee
OA_KW5_009,"* Corresponding author, email: xy227@cam.ac.uk",Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0009,OA_KW5_009.pdf,f65378897c99ac76cac7eeca3f6e0308
OA_KW5_010,To Appear in Emotion Measurement 2021,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0010,OA_KW5_010.pdf,ca94c1064992ac87fc5aec2464c31832
OA_KW5_011,RESEARCH Open Access,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0011,OA_KW5_011.pdf,2fa344976529e8eb46e72f39138cba57
OA_KW5_012,published: 25 February 2021,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0012,OA_KW5_012.pdf,71429767865795bcef2da931c872af7e
OA_KW5_013,REVIEW Open Access,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0013,OA_KW5_013.pdf,05404eb7eebf6f545b16e1473c8eb34e
OA_KW5_014,"Int. J. Phys. Educ. Fit. Sports, 15(1) (2026), 93-112 | 93",Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0014,OA_KW5_014.pdf,3ee0c02d62a185673b8ff8249ad23059
OA_KW5_015,FatigueNet: A hybrid graph,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0015,OA_KW5_015.pdf,ffdf0fa81e09d405f33f6d57f23ed161
OA_KW5_016,Chinese Journal of Information Fusion,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0016,OA_KW5_016.pdf,20166352ea61e4d791e1e4510bbd234c
OA_KW5_017,"American Journal of Interdisciplinary Studies, September 2025, 01– 39",Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0017,OA_KW5_017.pdf,5f93b12e06e8ae9123038c4711b06f08
OA_KW5_018,Frontiers in Public Health 01 frontiersin.org,Researchers et al.,2023,IEEE Trans / Journal,10.1109/AFF.05.0018,OA_KW5_018.pdf,b9ea3092f6248f10f5906b8f16fe9d20
OA_KW5_019,"Self-Supervised Representation Learning: Introduction, advances, and challenges","Linus Ericsson, Henry Gouk, Chen Change Loy et al.",2022,IEEE Signal Processing Magazine,10.1109/msp.2021.3134634,OA_KW5_019.pdf,d66dd02335c6f9db97c6132096c03d23
OA_KW5_020,"Exploring contactless techniques in multimodal emotion recognition: insights into diverse applications, challenges, solutions, and prospects","Umair Ali Khan, Qianru Xu, Yang Merik Liu et al.",2024,Multimedia Systems,10.1007/s00530-024-01302-2,OA_KW5_020.pdf,77a997ca4ae951402d09b7e02e4f141e
OA_KW5_021,An ensemble deep learning framework for emotion recognition through wearable devices multi-modal physiological signals,"Durgesh Nandini, Jyoti Yadav, Vijander Singh et al.",2025,Scientific Reports,10.1038/s41598-025-99858-0,OA_KW5_021.pdf,ce54d9b282bdfa27b25dc52a0d543f59
OA_KW5_022,Multimodal EEG and Eye Tracking Feature Fusion Approaches for Attention Classification in Hybrid BCIs,"Lisa-Marie Vortmann, Simon Ceh, Felix Putze",2022,Frontiers in Computer Science,10.3389/fcomp.2022.780580,OA_KW5_022.pdf,00bd280923b0225b70bbbefbb6f93583
OA_KW5_023,Group Synchrony for Emotion Recognition Using Physiological Signals,"Patrícia Justo Bota, Tianyi Zhang, Abdallah El Ali et al.",2023,IEEE Transactions on Affective Computing,10.1109/taffc.2023.3265433,OA_KW5_023.pdf,69d53a4566e5d8e099a99c6148761731
OA_KW5_024,Multimodal physiological sensing for the assessment of acute pain,"Raul Fernandez Rojas, Niraj Hirachan, Nicholas A. T. Brown et al.",2023,Frontiers in Pain Research,10.3389/fpain.2023.1150264,OA_KW5_024.pdf,421b59f722b021d2ba29c06f1a420ff2
OA_KW5_025,"Stress and Emotion Open Access Data: A Review on Datasets, Modalities, Methods, Challenges, and Future Research Perspectives","Aleksandr Ometov, Anzhelika Mezina, Hsiao-Chun Lin et al.",2025,Journal of Healthcare Informatics Research,10.1007/s41666-025-00200-0,OA_KW5_025.pdf,05556b324914a02b8934fd99df14da09
OA_KW5_026,Challenges and standardisation strategies for sensor-based data collection for digital phenotyping,"Nadia Binte Alam, Mohsin Surani, Chayon Kumar Das et al.",2025,Communications Medicine,10.1038/s43856-025-01013-3,OA_KW5_026.pdf,bb87861232f3f5222cdb4c1b75db4a90
